,rank,name,author,price,book_type,stars,reviews,link
0,#1,Ikigai: The Japanese secret to a long and happy life,Héctor García,366.00,Hardcover,4.6 out of 5 stars,"7,126",https://www.amazon.in/Ikigai-H%C3%A9ctor-Garc%C3%ADa/dp/178633089X?_encoding=UTF8&psc=1
1,#2,Think Like a Monk: The secret of how to harness the power of positivity and be happy now,Jay Shetty,316.00,Paperback,4.8 out of 5 stars,"5,979",https://www.amazon.in/Think-Like-Monk-Jay-Shetty/dp/0008386595?_encoding=UTF8&psc=1
2,#3,My First Library: Boxset of 10 Board Books for Kids,Wonder House Books,425.00,Board book,4.5 out of 5 stars,"11,375",https://www.amazon.in/My-First-Library-Boxset-Board/dp/9387779262?_encoding=UTF8&psc=1
3,#4,The Alchemist,Paulo Coelho,189.00,Paperback,4.6 out of 5 stars,"39,848",https://www.amazon.in/Alchemist-Paulo-Coelho/dp/8172234988?_encoding=UTF8&psc=1
4,#5,World’s Greatest Books For Personal Growth & Wealth (Set of 4 Books): Perfect Motivational Gift Set,Dale Carnegie,319.00,Paperback,4.5 out of 5 stars,"2,042",https://www.amazon.in/Worlds-Greatest-Personal-Growth-Wealth/dp/9389432014?_encoding=UTF8&psc=1
5,#6,General Knowledge,Dr. Binay Karna,158.00,Paperback,4.4 out of 5 stars,"7,364",https://www.amazon.in/General-Knowledge-Dr-Binay-Karna/dp/9384761540?_encoding=UTF8&psc=1
6,#7,One Arranged Murder,Chetan Bhagat,124.00,Paperback,4.2 out of 5 stars,"3,941",https://www.amazon.in/One-Arranged-Murder-Chetan-Bhagat/dp/1542094135?_encoding=UTF8&psc=1
7,#8,The Psychology of Money,Morgan Housel,310.00,Paperback,4.6 out of 5 stars,"3,214",https://www.amazon.in/Psychology-Money-Morgan-Housel/dp/9390166268?_encoding=UTF8&psc=1
8,#9,Atomic Habits: The life-changing million copy bestseller,James Clear,557.00,Paperback,4.6 out of 5 stars,"9,781",https://www.amazon.in/Atomic-Habits-James-Clear/dp/1847941834?_encoding=UTF8&psc=1
9,#10,Word Power Made Easy,Norman Lewis,152.00,Paperback,4.4 out of 5 stars,"15,092",https://www.amazon.in/Word-Power-Made-Norman-Lewis/dp/8183071007?_encoding=UTF8&psc=1
10,#11,The Intelligent Investor (English) Paperback – 2013,Benjamin Graham,391.00,Paperback,4.4 out of 5 stars,"15,278",https://www.amazon.in/Intelligent-Investor-English-Paperback-2013/dp/0062312685?_encoding=UTF8&psc=1
11,#12,General Knowledge 2021,Manohar Pandey,30.00,Paperback,4.3 out of 5 stars,"1,556",https://www.amazon.in/General-Knowledge-2021-Manohar-Pandey/dp/9324195395?_encoding=UTF8&psc=1
12,#13,26 Years UPSC IAS/ IPS Prelims Topic-wise Solved Papers 1 & 2 (1995 - 2020) 11th Edition,Mrunal Patel,335.00,Paperback,4.4 out of 5 stars,100,https://www.amazon.in/Years-Prelims-Topic-wise-Solved-Papers/dp/8194815010?_encoding=UTF8&psc=1
13,#14,Quantitative Aptitude for Competitive Examinations,R S Aggarwal,543.00,Paperback,4.4 out of 5 stars,"7,132",https://www.amazon.in/Quantitative-Aptitude-Competitive-Examinations-Aggarwal/dp/9352534026?_encoding=UTF8&psc=1
14,#15,Attitude Is Everything: Change Your Attitude ... Change Your Life!,Keller Jeff,151.00,Paperback,4.5 out of 5 stars,"5,298",https://www.amazon.in/Attitude-Everything-Change-Your-Life/dp/9351772071?_encoding=UTF8&psc=1
